raw/disc/disc_proportion_expert_pred,raw/disc/global_step,raw/disc/disc_acc,raw/disc/n_generated,raw/disc/n_expert,raw/disc/disc_loss,raw/disc/disc_entropy,raw/disc/disc_acc_expert,raw/disc/disc_acc_gen,raw/disc/disc_proportion_expert_true
0.5,52529,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52529,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52530,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52530,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52531,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52531,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52532,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52532,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52533,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52533,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52534,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52534,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52535,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52535,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52536,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52536,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52537,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52537,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52538,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52538,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52539,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52539,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52540,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52540,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52541,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52541,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52542,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52542,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52543,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52543,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52544,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52544,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52545,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52545,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52546,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52546,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52547,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52547,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52548,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52548,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52549,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52549,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52550,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52550,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52551,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52551,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52552,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52552,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52553,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52553,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52554,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52554,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52555,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52555,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52556,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52556,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52557,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52557,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52558,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52558,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52559,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52559,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52560,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52560,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52561,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52561,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52562,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52562,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52563,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52563,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52564,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52564,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52565,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52565,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52566,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52566,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52567,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52567,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52568,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52568,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52569,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52569,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52570,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52570,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52571,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52571,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52572,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52572,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52573,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52573,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52574,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52574,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52575,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52575,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52576,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52576,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52577,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52577,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52578,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52578,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52579,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52579,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52580,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52580,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52581,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52581,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52582,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52582,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52583,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52583,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52584,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52584,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52585,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52585,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52586,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52586,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52587,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52587,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52588,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52588,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52589,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52589,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52590,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52590,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52591,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52591,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52592,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52592,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52593,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52593,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52594,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52594,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52595,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52595,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52596,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52596,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52597,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52597,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52598,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52598,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52599,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52599,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52600,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52600,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52601,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52601,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52602,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52602,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52603,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52603,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52604,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52604,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52605,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52605,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52606,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52606,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52607,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52607,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52608,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52608,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52609,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52609,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52610,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52610,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52611,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52611,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52612,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52612,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52613,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52613,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52614,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52614,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52615,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52615,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52616,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52616,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52617,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52617,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52618,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52618,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52619,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52619,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52620,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52620,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52621,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52621,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52622,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52622,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52623,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52623,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52624,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52624,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52625,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52625,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52626,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52626,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52627,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52627,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52628,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52628,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52629,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52629,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52630,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52630,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52631,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52631,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52632,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52632,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52633,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52633,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52634,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52634,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52635,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52635,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52636,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52636,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52637,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52637,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52638,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52638,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52639,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52639,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52640,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52640,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52641,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52641,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52642,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52642,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52643,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52643,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52644,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52644,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52645,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52645,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52646,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52646,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52647,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52647,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52648,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52648,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52649,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52649,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52650,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52650,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52651,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52651,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52652,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52652,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52653,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52653,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52654,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52654,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52655,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52655,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52656,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52656,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52657,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52657,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52658,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52658,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52659,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52659,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52660,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52660,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52661,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52661,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52662,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52662,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52663,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52663,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52664,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52664,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52665,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52665,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52666,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52666,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52667,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52667,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52668,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52668,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52669,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52669,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52670,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52670,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52671,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52671,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52672,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52672,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52673,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52673,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52674,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52674,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52675,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52675,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52676,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52676,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52677,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52677,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52678,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52678,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52679,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52679,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52680,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52680,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52681,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52681,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52682,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52682,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52683,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52683,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52684,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52684,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52685,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52685,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52686,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52686,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52687,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52687,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52688,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52688,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52689,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52689,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52690,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52690,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52691,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52691,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52692,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52692,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52693,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52693,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52694,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52694,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52695,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52695,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52696,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52696,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52697,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52697,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52698,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52698,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52699,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52699,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52700,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52700,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52701,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52701,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52702,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52702,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52703,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52703,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52704,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52704,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52705,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52705,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,52706,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
