raw/disc/disc_proportion_expert_pred,raw/disc/global_step,raw/disc/disc_acc,raw/disc/n_generated,raw/disc/n_expert,raw/disc/disc_loss,raw/disc/disc_entropy,raw/disc/disc_acc_expert,raw/disc/disc_acc_gen,raw/disc/disc_proportion_expert_true
0.5,43515,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43515,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43516,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43516,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43517,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43517,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43518,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43518,1.0,32.0,32.0,3.725290076417309e-09,6.332993507385254e-08,1.0,1.0,0.5
0.5,43519,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43519,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43520,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43520,1.0,32.0,32.0,3.7252898543727042e-09,4.842877388000488e-08,1.0,1.0,0.5
0.5,43521,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43521,1.0,32.0,32.0,1.8626450382086546e-09,6.146728992462158e-08,1.0,1.0,0.5
0.5,43522,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43522,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43523,1.0,32.0,32.0,1.8626450382086546e-09,6.146728992462158e-08,1.0,1.0,0.5
0.5,43523,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43524,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43524,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43525,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43525,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43526,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43526,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43527,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43527,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43528,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43528,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43529,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43529,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43530,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43530,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43531,1.0,32.0,32.0,1.8626450382086546e-09,6.146728992462158e-08,1.0,1.0,0.5
0.5,43531,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43532,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43532,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43533,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43533,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43534,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43534,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43535,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43535,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43536,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43536,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43537,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43537,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43538,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43538,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43539,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43539,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43540,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43540,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43541,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43541,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43542,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43542,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43543,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43543,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43544,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43544,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43545,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43545,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43546,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43546,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43547,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43547,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43548,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43548,1.0,32.0,32.0,1.8626450382086546e-09,4.6566128730773926e-08,1.0,1.0,0.5
0.5,43549,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43549,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43550,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43550,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43551,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43551,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43552,1.0,32.0,32.0,0.0,5.960464477539063e-08,1.0,1.0,0.5
0.5,43552,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43553,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43553,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43554,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43554,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43555,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43555,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43556,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43556,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43557,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43557,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43558,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43558,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43559,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43559,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43560,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43560,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43561,1.0,32.0,32.0,1.8626450382086546e-09,4.6566128730773926e-08,1.0,1.0,0.5
0.5,43561,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43562,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43562,1.0,32.0,32.0,3.725290076417309e-09,6.332993507385254e-08,1.0,1.0,0.5
0.5,43563,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43563,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43564,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43564,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43565,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43565,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43566,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43566,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43567,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43567,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43568,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43568,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43569,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43569,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43570,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43570,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43571,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43571,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43572,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43572,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43573,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43573,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43574,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43574,1.0,32.0,32.0,1.8626450382086546e-09,6.146728992462158e-08,1.0,1.0,0.5
0.5,43575,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43575,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43576,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43576,1.0,32.0,32.0,1.8626450382086546e-09,6.146728992462158e-08,1.0,1.0,0.5
0.5,43577,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43577,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43578,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43578,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43579,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43579,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43580,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43580,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43581,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43581,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43582,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43582,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43583,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43583,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43584,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43584,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43585,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43585,1.0,32.0,32.0,1.8626450382086546e-09,6.146728992462158e-08,1.0,1.0,0.5
0.5,43586,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43586,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43587,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43587,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43588,1.0,32.0,32.0,3.725290076417309e-09,6.332993507385254e-08,1.0,1.0,0.5
0.5,43588,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43589,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43589,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43590,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43590,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43591,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43591,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43592,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43592,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43593,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43593,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43594,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43594,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43595,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43595,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43596,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43596,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43597,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43597,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43598,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43598,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43599,1.0,32.0,32.0,0.0,8.940696716308594e-08,1.0,1.0,0.5
0.5,43599,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43600,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43600,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43601,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43601,1.0,32.0,32.0,0.0,5.960464477539063e-08,1.0,1.0,0.5
0.5,43602,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43602,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43603,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43603,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43604,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43604,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43605,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43605,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43606,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43606,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43607,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43607,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43608,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43608,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43609,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43609,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43610,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43610,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43611,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43611,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43612,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43612,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43613,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43613,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43614,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43614,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43615,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43615,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43616,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43616,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43617,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43617,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43618,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43618,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43619,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43619,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43620,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43620,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43621,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43621,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43622,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43622,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43623,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43623,1.0,32.0,32.0,1.8626450382086546e-09,4.6566128730773926e-08,1.0,1.0,0.5
0.5,43624,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43624,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43625,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43625,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43626,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43626,1.0,32.0,32.0,0.0,5.960464477539063e-08,1.0,1.0,0.5
0.5,43627,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43627,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43628,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43628,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43629,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43629,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43630,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43630,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43631,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43631,1.0,32.0,32.0,3.725290076417309e-09,1.0803341865539551e-07,1.0,1.0,0.5
0.5,43632,1.0,32.0,32.0,1.8626450382086546e-09,6.146728992462158e-08,1.0,1.0,0.5
0.5,43632,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43633,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43633,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43634,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43634,1.0,32.0,32.0,1.8626450382086546e-09,4.6566128730773926e-08,1.0,1.0,0.5
0.5,43635,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43635,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43636,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43636,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43637,1.0,32.0,32.0,1.8626450382086546e-09,9.12696123123169e-08,1.0,1.0,0.5
0.5,43637,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43638,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43638,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43639,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43639,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43640,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43640,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43641,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43641,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43642,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43642,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43643,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43643,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43644,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43644,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43645,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43645,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43646,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43646,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43647,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43647,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43648,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43648,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43649,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43649,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43650,1.0,32.0,32.0,3.725290076417309e-09,6.332993507385254e-08,1.0,1.0,0.5
0.5,43650,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43651,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43651,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43652,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43652,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43653,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43653,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43654,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43654,1.0,32.0,32.0,3.7252898543727042e-09,7.82310962677002e-08,1.0,1.0,0.5
0.5,43655,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43655,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43656,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43656,1.0,32.0,32.0,3.725290076417309e-09,6.332993507385254e-08,1.0,1.0,0.5
0.5,43657,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43657,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43658,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43658,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43659,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43659,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43660,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43660,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43661,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43661,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43662,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43662,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43663,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43663,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43664,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43664,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,43665,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43665,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43666,1.0,32.0,32.0,1.8626450382086546e-09,4.6566128730773926e-08,1.0,1.0,0.5
0.5,43666,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43667,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43667,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43668,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43668,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43669,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43669,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43670,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43670,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43671,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43671,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43672,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43672,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43673,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,43673,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,43674,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
